t,inf-count-mean,inf-count-std,inf-count-list,radial-velocity-mean(um/min),radial-velocity-std(um/min),radial-velocity-list(um/min)
32.5,217.66666666666666,122.0797553514368,"[106, 408, 263, 280, 89, 160]",0.1494696256105907,0.015447574595413087,"[0.13405288971281865, 0.14991988191082928, 0.17528410955275958, 0.1629373827966702, 0.13228727001822083, 0.14233621967224558]"
32.67,225.5,124.47449537957564,"[112, 418, 271, 291, 91, 170]",0.14912982733276714,0.014386084379432326,"[0.13401703664752154, 0.14823339591794452, 0.1725676974212565, 0.1638008784111262, 0.1367043565569007, 0.13945559904185328]"
32.83,231.33333333333334,126.5885724173658,"[114, 429, 276, 296, 97, 176]",0.149029600852261,0.015140681141521822,"[0.1329941583452552, 0.14728986318198495, 0.17172492109337473, 0.16595839012571023, 0.131984273282271, 0.1442259990849698]"
33.0,238.16666666666666,130.83335456475413,"[119, 446, 283, 300, 100, 181]",0.1485884845361628,0.015720125746350733,"[0.13501001513250915, 0.14641292743733386, 0.1718690373288741, 0.1661363746797349, 0.1280091847294666, 0.1440933679090582]"
33.17,245.5,132.53339201876634,"[126, 454, 293, 309, 102, 189]",0.1506206158269223,0.013636185329407054,"[0.15180990760182064, 0.14714481638506852, 0.16778449974011136, 0.16463081140417662, 0.12632677125253955, 0.14602688857781704]"
33.33,253.5,137.93440470020525,"[130, 470, 298, 327, 107, 189]",0.1523197091807266,0.016886867895542588,"[0.16944223150112808, 0.14491676865557657, 0.16923121860364354, 0.16347131915892915, 0.1224992750440415, 0.14435744212104087]"
33.5,262.0,141.36053197409805,"[134, 484, 307, 337, 112, 198]",0.15161133828298234,0.015713828368103196,"[0.16490164064134955, 0.1425898136532876, 0.169272782906249, 0.16336193990652625, 0.12461405295886081, 0.1449277996316208]"
33.67,268.8333333333333,148.02488529523225,"[133, 501, 321, 345, 115, 198]",0.15150005122102694,0.014589166453166554,"[0.1635339746896306, 0.1434700692650427, 0.16946853278637153, 0.1608780151269376, 0.12672730795666412, 0.14492240750151503]"
33.83,279.0,152.06577524216289,"[140, 515, 335, 360, 120, 204]",0.15139864187746765,0.010708704531799744,"[0.15554961781801677, 0.14590060129984048, 0.16712492449516148, 0.16015402211795138, 0.13488050447975908, 0.1447821810540767]"
34.0,286.6666666666667,153.21183592225069,"[148, 525, 343, 367, 125, 212]",0.15340949752961552,0.008939703799158823,"[0.15914803104163414, 0.14649268201388127, 0.1669249567263501, 0.1597957766282806, 0.14403023976652812, 0.14406529900101894]"
34.17,297.1666666666667,153.51796854657331,"[155, 535, 354, 380, 139, 220]",0.1517487517925885,0.009584556122721109,"[0.1505452193802937, 0.14735427385803804, 0.16734391506196294, 0.16060709472864412, 0.13838538759483937, 0.14625662013175283]"
34.33,304.6666666666667,154.7122059395013,"[160, 541, 366, 391, 146, 224]",0.15068444833763617,0.010625973237736763,"[0.1482844427481608, 0.14619198676685793, 0.16654598844154408, 0.16170596577626112, 0.13441813039632555, 0.14696017589666754]"
34.5,315.0,163.20294114996824,"[165, 572, 375, 398, 152, 228]",0.15301053968177084,0.008367337490300024,"[0.15230035493074193, 0.14699434074536538, 0.16405288055933795, 0.16350481530517208, 0.1410425076980597, 0.15016833885194797]"
34.67,323.6666666666667,167.3734347698782,"[170, 590, 379, 410, 160, 233]",0.15598946986854664,0.010540948457411327,"[0.15153439421845233, 0.14826305953511826, 0.16842672589779395, 0.17007040369730747, 0.14071569145939916, 0.15692654440320858]"
